Buena,Regular,Mala,Critica
0.287878788,0.378787879,0.257575758,0.075757576
0.111111111,0.282828283,0.424242424,0.181818182
0.137614679,0.266055046,0.146788991,0.449541284
0.095238095,0.158730159,0.293650794,0.452380952
