Sana,VPH,Estadio I,Estadio II,Estadio III,Estadio IV,Fallecida
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.049,0.682,0.197,0.065,0.008
0.000,0.000,0.026,0.038,0.841,0.041,0.054
0.000,0.000,0.000,0.000,0.000,0.873,0.127
0.000,0.000,0.000,0.000,0.000,0.000,1.000
