Sana,VPH,Estadio I,Estadio II,Estadio III,Estadio IV,Fallecida
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.530,0.306,0.091,0.052,0.000,0.000,0.020
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,1.000
