Sana,VPH,Estadio I,Estadio II,Estadio III,Estadio IV,Fallecida
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.020,0.023,0.800,0.085,0.055,0.000,0.017
0.034,0.040,0.198,0.488,0.130,0.049,0.061
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,1.000
